"Контрагент","Итого","max"
ПружаныТрейд ТОО (КАЗАХСТАН),7000.00,C
АВАНГАРД-ИНЖ ООО,6945.20,C
КАППА-МАШ ООО,6936.00,C
ВеткаКом ООО (ТАДЖИКИСТАН),6739.25,C
ТамбовТранс АО (ГРУЗИЯ),6661.55,C
ОсиповичиМед ТОО (БЕЛАРУСЬ),6619.23,C
СтолинКонсалт ООО (АЗЕРБАЙДЖАН),6500.00,C
"ИПСИЛОН-ИНЖ ООО, Ижевск",6497.62,C
АлматыИнвест АО (КАЗАХСТАН),6346.94,C
БерезаПроект ТОО (КИРГИЗИЯ),6077.38,C
ВитебскТех АО (РОССИЯ),5986.52,C
ФАКТОР-ПЛЮС ООО,5928.38,C
УшачиСервис АО (МОЛДОВА),5920.70,C
"АО ""ЦОФ ""АБАШЕВСКАЯ""",5861.98,C
ДубровноЛогистика АО (МОЛДОВА),5700.00,C
КраснопольеПроект ТОО (КИРГИЗИЯ),5524.98,C
МордовияЭкспорт АО,5486.17,C
ГоркиКом ТОО (БЕЛАРУСЬ),5468.48,C
ГАММАСТРОЙ ООО,5442.25,C
МОСКВА-СТРОЙ ООО,5378.52,C
КАППА-ПРОД ООО,5275.92,C
ГлускТех АО (РОССИЯ),5062.88,C
КлимовичиФарма АО (УКРАИНА),5000.00,C
ОМЕГА-ПРОДУКТ ООО,4846.00,C
ДЕЛЬТА-ЭНЕРГО ООО,4812.48,C
КлимовичиМед ТОО (КИРГИЗИЯ),4563.11,C
ОМИКРОН-ЭЛЕКТРО ООО,4523.57,C
АЛЬФА-17 ООО,4419.98,C
ДубровноИнвест ООО (БЕЛАРУСЬ),4265.93,C
ОМЕГА-ТОРГ ООО,4110.11,C
ДрогичинТранс ООО (АЗЕРБАЙДЖАН),3958.82,C
ЖЕЛЕЗНОДОРОЖНЫЙ ООО,3917.84,C
"ТЕТА-ЭЛЕКТРО ООО, Омск",3872.15,C
АЛЬФА-34 ООО,3780.50,C
КИЕВ-ТОРГ ООО,3726.00,C
МстиславльЭкспорт ООО (УЗБЕКИСТАН),3645.00,C
ХойникиФарма АО (УКРАИНА),3625.87,C
ЧечерскКонсалт АО (ГРУЗИЯ),3588.95,C
СтарыеДорогиЭнерго АО (РОССИЯ),3548.00,C
АЛЬФА-21 ООО,3468.00,C
ШкловЭкспорт ТОО (КИРГИЗИЯ),3467.89,C
БорисовПроект АО (УКРАИНА),3325.00,C
ЭЛИТ-ТОРГ ООО,3219.07,C
КировскЛогистика АО (МОЛДОВА),3164.54,C
РоссоныФарма ТОО (КИРГИЗИЯ),3116.00,C
КостюковичиТранс ООО (АЗЕРБАЙДЖАН),3000.00,C
"ГАММА-ТОРГ ООО, Екатеринбург",2872.12,C
ЖодиноЛогистика ООО (БЕЛОРУСЬ),2800.00,C
АЛЬФА-12 ООО,2782.56,C
"БЕТА-СТРОЙ ООО, Санкт-Петербург",2778.54,C
КраснопольеИнновации ООО (АЗЕРБАЙДЖАН),2760.00,C
ТауСервис ООО (АЗЕРБАЙДЖАН),2746.78,C
АЛЬФА-51 ООО,2701.32,C
БобруйскИндустрия ТОО (АРМЕНИЯ),2688.58,C
КобринЛогистика ООО (БЕЛОРУСЬ),2611.16,C
ЧериковМаш ТОО (ТУРКМЕНИСТАН),2500.00,C
ДубровноКом ТОО (ТУРКМЕНИСТАН),2408.00,C
АЛЬФА-4 ООО,2310.30,C
ПолоцкСервис ООО (БЕЛОРУСЬ),2220.00,C
ВерхнедвинскФинанс ТОО (АРМЕНИЯ),2200.00,C
КостюковичиПроект АО (УКРАИНА),2108.00,C
КАПИТАЛ-ИНВЕСТ ООО,1950.00,C
КалинковичиТех АО (РОССИЯ),1941.19,C
"АО ""АТЛАНТРЫБФЛОТ""",1920.00,C
СенненскийПроект АО (УКРАИНА),1800.00,C
ДубровноКонсалт ТОО (КАЗАХСТАН),1785.17,C
ИвацевичиМаш АО (РОССИЯ),1744.00,C
ОсиповичиЭкспорт АО (УКРАИНА),1653.00,C
АЛЬФА-14 ООО,1609.55,C
ОктябрьскийТранс ТОО (КАЗАХСТАН),1545.16,C
СлавгородТранс АО (ГРУЗИЯ),1535.81,C
КричевФинанс ООО (БЕЛОРУСЬ),1500.97,C
НесвижКонсалт АО (ГРУЗИЯ),1500.00,C
"АЛЬФА-50 ООО, Москва",1404.76,C
"МЮ-ЭНЕРГО ООО, Красноярск",1356.20,C
ЛиозноКом АО (БЕЛАРУСЬ),1337.65,C
"ОМЕГА-КОМ ООО, Владивосток",1308.54,C
АВТОПРОМ Москва ООО,1295.30,C
ЧериковФинанс АО (МОЛДОВА),1260.00,C
ЖитковичиЭнерго АО (РОССИЯ),1226.00,C
ИвановоИндустрия ТОО (АРМЕНИЯ),1219.00,C
ФОРТУНА-ИНЖ ООО,1160.00,C
КостюковичиФарма ТОО (КИРГИЗИЯ),1155.00,C
ЧашникиТех ТОО (ТУРКМЕНИСТАН),1100.00,C
"ИПСИЛОН-ТОРГ ООО, Ижевск",1063.02,C
ЗЕНИТ-КРАСНОДАР ООО,1000.00,C
ПИ-ТОРГ ООО,961.02,C
ХОЛМ-ТЕХ ООО,904.70,C
БрагинЭнерго АО (РОССИЯ),870.00,C
КокшетауМед ООО (КАЗАХСТАН),700.72,C
ЧувашияМед ТОО,667.24,C
ЛАМБДА-ПРОД ООО,401.72,C
ХотимскФинанс ООО (БЕЛОРУСЬ),300.00,C
ГанцевичиМед ТОО (КИРГИЗИЯ),300.00,C
"КСИ-ПРОД ООО, Пермь",242.65,C
КировскТех ООО (ТАДЖИКИСТАН),226.74,C
КричевИндустрия ТОО (АРМЕНИЯ),213.00,C
ОршаМед АО (УКРАИНА),110.00,C
ТАЙГА-ПРОМ ООО,78.74,C
ВерхнедвинскМаш ООО (ТАДЖИКИСТАН),0,C-
