"Отдел","Контрагент","Итого","cnt_first","cnt_second"
Трубка и РВД,ПсиЛогистика ТОО (КАЗАХСТАН),55440.00,0,1
Трубка и РВД,КричевЭнерго ТОО (ТУРКМЕНИСТАН),8714.88,1,0
Отдел труб и штоков,АЛЬФА-42 ООО,56175.44,2,0
Трубка и РВД,БрагинИндустрия ООО (БЕЛАРУСЬ),557071.20,2,1
Трубка и РВД,МикашевичиПроект ООО (УЗБЕКИСТАН),1483131.10,2,2
Отдел труб и штоков,АЛЬФА-2 ООО,35363.97,2,2
Отдел труб и штоков,КалинковичиКом ООО (ТАДЖИКИСТАН),66996.99,2,0
Отдел труб и штоков,УшачиКом ООО (ТАДЖИКИСТАН),97754.92,3,0
Трубка и РВД,КомиМед АО (УКРАИНА),36788.44,1,0
Трубка и РВД,ОктябрьскийПроект АО (БЕЛАРУСЬ),61037.62,1,0
Трубка и РВД,ЛуганскСервис ООО,75301.25,0,1
Отдел труб и штоков,ДЕЛЬТА-МАШ ООО,4491501.65,6,5
Отдел труб и штоков,ЭПСИЛОН-ПЛЮС ООО,154156.50,1,0
Трубка и РВД,ГлускИнновации ООО (БЕЛАРУСЬ),56866.68,0,1
Отдел труб и штоков,ДЕЛЬТА-СТРОЙ ООО,122045.46,2,2
Трубка и РВД,БыховЭнерго ТОО (БЕЛАРУСЬ),25047.64,1,1
Отдел труб и штоков,"Точка света (ООО ""Альфа"")",1511804.22,5,1
Отдел труб и штоков,ЙОТА-МАШ ООО,39256.21,0,1
Трубка и РВД,КалинковичиСтрой ТОО (БЕЛАРУСЬ),6968.64,1,0
Отдел труб и штоков,КраснопольеЭкспорт ТОО (КИРГИЗИЯ),39987.55,0,1
Трубка и РВД,КосмосФинанс ТОО,4268.16,0,1
Отдел труб и штоков,РостовСервис ТОО,686518.18,6,5
Трубка и РВД,ХерсонПроект ТОО,15773.76,1,0
Отдел труб и штоков,АЛЬФА-50 ООО,56120.92,1,1
Отдел труб и штоков,БрагинМаш ООО (ТАДЖИКИСТАН),56950.27,1,0
Трубка и РВД,ИмперияИнновации АО (УКРАИНА),646459.11,6,2
Отдел труб и штоков,ФИНАРОЗ+ ООО,31260.24,2,1
Отдел труб и штоков,ЛунинецЛогистика АО (МОЛДОВА),361180.80,1,0
Трубка и РВД,ЧашникиСервис ООО (БЕЛАРУСЬ),212253.62,3,3
Отдел труб и штоков,СИГМА-ПРОМ ООО,8431.82,1,0
Трубка и РВД,ООО Инженерная компания «555»,10241.28,0,1
Отдел труб и штоков,ТАУ-ЭНЕРГО ООО,12430.69,1,0
Отдел труб и штоков,СтарыеДорогиЭнерго АО (РОССИЯ),3548.00,1,0
Трубка и РВД,ФиЭнерго АО (УКРАИНА),33883.20,0,1
Трубка и РВД,БорисовЭкспорт АО (БЕЛАРУСЬ),202811.76,1,1
Отдел труб и штоков,НИЖНИЙ НОВГОРОД ООО,67135.25,1,1
Трубка и РВД,ОдессаТех ООО,2598.24,1,0
Отдел труб и штоков,КосмосФинанс ТОО,55413.11,1,1
Отдел труб и штоков,НаровляТех АО (РОССИЯ),560264.61,6,4
Трубка и РВД,"ООО ""МАРИОН""",799313.83,1,0
Отдел труб и штоков,РО-ИНЖ ООО,60762.26,1,1
Отдел труб и штоков,ЖодиноФинанс ТОО (АРМЕНИЯ),4586737.15,6,5
Отдел труб и штоков,АЛЬФА-12 ООО,2782.56,0,1
Отдел труб и штоков,КобринКом АО (РОССИЯ),7328.38,1,0
Трубка и РВД,НесвижСтрой ТОО (БЕЛАРУСЬ),16802.64,0,1
Отдел труб и штоков,"ОАО ""НАК ""АКИ-ОТЫР""",509136.98,3,1
Трубка и РВД,ГоркиМаш ООО (ТАДЖИКИСТАН),1296.00,1,0
Отдел труб и штоков,"БЕТА-МАШ ООО, Санкт-Петербург",192721.98,3,2
Трубка и РВД,ДубровноЛогистика ООО (БЕЛАРУСЬ),135594.00,1,0
Отдел труб и штоков,МЮ-МАШ ООО,957212.55,6,5
Трубка и РВД,БобруйскИндустрия ТОО (АРМЕНИЯ),5702.40,1,0
Трубка и РВД,МстиславльИндустрия АО (БЕЛАРУСЬ),4418.02,1,1
Трубка и РВД,КостюковичиИндустрия ТОО (АРМЕНИЯ),22571.40,1,1
Трубка и РВД,ДрогичинТрейд ООО (БЕЛАРУСЬ),33208.38,1,0
Отдел труб и штоков,ОПТИМА-КОМ ООО,959162.60,4,3
Трубка и РВД,РадугаСервис ТОО,33369.60,1,0
Отдел труб и штоков,ДОРОГА-СТРОЙ ООО,478009.16,5,5
Отдел труб и штоков,КраснопольеМед ООО (БЕЛАРУСЬ),32188.08,1,2
Трубка и РВД,ДрогичинПроект АО (УКРАИНА),16980.00,1,0
Отдел труб и штоков,МАГНИТ-СТРОЙ ООО,65371.99,1,0
Трубка и РВД,КопыльФинанс ТОО (АРМЕНИЯ),1728.00,1,0
Отдел труб и штоков,"ХИ-ПРОМ ООО, Иркутск",215630.66,1,0
Трубка и РВД,ТайгаМаш ООО (ТАДЖИКИСТАН),134960.25,3,1
Трубка и РВД,ТитанСервис АО (МОЛДОВА),5445960.99,3,2
Трубка и РВД,БегемотИнвест ТОО (АРМЕНИЯ),25261.92,1,2
Трубка и РВД,ЛяховичиФарма ООО (БЕЛАРУСЬ),118277.54,2,1
Отдел труб и штоков,ОсиповичиИнновации ООО (БЕЛАРУСЬ),85287.50,4,3
Трубка и РВД,БобруйскКом АО (БЕЛАРУСЬ),1498395.10,6,5
Трубка и РВД,ТуровТех ООО (БЕЛАРУСЬ),13854.48,1,0
Трубка и РВД,ШантарСтрой АО,49093.78,1,0
Трубка и РВД,КалинковичиЛогистика АО (БЕЛАРУСЬ),1605169.90,4,2
Отдел труб и штоков,НЮ-ЭНЕРГО ООО,2092271.62,6,4
Отдел труб и штоков,СлавгородИнвест ООО (БЕЛАРУСЬ),1620408.70,5,5
Трубка и РВД,ОсиповичиТех ООО (БЕЛАРУСЬ),99404.88,1,0
Отдел труб и штоков,"ООО ""ТПФ ""МашТрейд"", г. Череповец",6180044.33,4,3
Отдел труб и штоков,УфаМед ООО,323183.75,5,2
Трубка и РВД,ЛюбаньЭкспорт ТОО (БЕЛАРУСЬ),5277774.76,5,4
Отдел труб и штоков,ПавлодарМед АО (УКРАИНА),38748.07,0,1
Отдел труб и штоков,ТРУД-МАШ ООО,62581.80,0,3
Отдел труб и штоков,ТуровТранс ТОО (КАЗАХСТАН),85782.16,3,0
Трубка и РВД,ПлутонТех АО (ГРУЗИЯ),3542.40,1,0
Трубка и РВД,РоссоныФарма АО (БЕЛАРУСЬ),20146.02,1,0
Трубка и РВД,"ООО ""ЮРБ""",2952.36,0,1
Трубка и РВД,УральскМед ООО (КАЗАХСТАН),5136.48,1,0
Трубка и РВД,ВитебскЭнерго ООО (ТАДЖИКИСТАН),344368.44,0,2
Трубка и РВД,Алтайдизель,133192.80,3,0
Трубка и РВД,КамчаткаКом ООО,4924.80,0,1
Трубка и РВД,ВерхнедвинскСервис ООО (БЕЛОРУСЬ),5445.36,1,0
Трубка и РВД,ПружаныИнновации ООО (АЗЕРБАЙДЖАН),195440.15,2,2
Трубка и РВД,БраславМаш ТОО (ТУРКМЕНИСТАН),155659.66,3,1
Отдел труб и штоков,ОМИКРОН-СТРОЙ ООО,137054.69,0,3
Трубка и РВД,ОршаСервис ООО (БЕЛАРУСЬ),18965.56,0,2
Отдел труб и штоков,АЛЬФА-10 ООО,298062.95,1,2
Трубка и РВД,ХантыМансийскийЭнерго АО (РОССИЯ),320948.02,3,3
Трубка и РВД,ЖигулиФинанс ООО,69646.96,1,2
Отдел труб и штоков,УСПЕХ-КОМ ООО,388244.84,4,2
Отдел труб и штоков,ЛИГА-СТРОЙ ООО,72430.00,1,1
Трубка и РВД,КлимовичСтрой ТОО (БЕЛАРУСЬ),93947.26,1,1
Отдел труб и штоков,ФИ-ЭНЕРГО ООО,13253.96,1,0
Отдел труб и штоков,БорисовМед ООО (БЕЛАРУСЬ),8598.99,1,1
Отдел труб и штоков,ЧаусыФинанс АО (МОЛДОВА),288261.98,4,3
Трубка и РВД,ОктябрьскийКом АО (БЕЛАРУСЬ),151505.42,1,1
Трубка и РВД,ОсиповичиИнвест ООО (БЕЛАРУСЬ),636423.21,6,2
Отдел труб и штоков,ВОЛГА-ЭНЕРГО ООО,110972.16,1,0
Отдел труб и штоков,"ЗЕТА-ТОРГ ООО, Казань",40399.35,3,2
Трубка и РВД,КричевКом ТОО (БЕЛАРУСЬ),154108.79,1,1
Отдел труб и штоков,"МЮ-ПРОД ООО, Красноярск",28215.74,0,1
Трубка и РВД,КобринФарма ООО (БЕЛАРУСЬ),221360.44,5,4
Отдел труб и штоков,КлимовичиСервис АО (БЕЛАРУСЬ),4030542.55,0,3
Трубка и РВД,ШкловЭкспорт ТОО (КИРГИЗИЯ),10445.76,0,1
Трубка и РВД,ХерсонМаш ТОО (ТУРКМЕНИСТАН),3564.00,1,0
Отдел труб и штоков,ЧериковФинанс АО (МОЛДОВА),1260.00,0,1
Трубка и РВД,КиевФарма АО,39789.78,1,1
Отдел труб и штоков,МарсЭнерго АО (РОССИЯ),311262.60,3,3
Трубка и РВД,ЛунаМед АО,323182.49,6,5
Трубка и РВД,КлимовичИнвест АО (БЕЛАРУСЬ),1684.50,0,1
Отдел труб и штоков,ФЕДЕРАЛ-КОМ ООО,17073.50,2,0
Отдел труб и штоков,ТолочинЭнерго ТОО (ТУРКМЕНИСТАН),50701.50,1,0
Трубка и РВД,СтолинФарма ООО (УЗБЕКИСТАН),9943.68,1,1
Трубка и РВД,СветлогорскФарма АО (БЕЛАРУСЬ),3949787.54,6,5
Трубка и РВД,МюИндустрия ООО,462037.20,1,0
Отдел труб и штоков,ЭТА-ПРОД ООО,598851.72,5,5
Отдел труб и штоков,"АЛЬФА-48 ООО, Москва",266045.06,4,2
Трубка и РВД,ХотимскКонсалт ТОО (КАЗАХСТАН),18798.00,1,0
Отдел труб и штоков,ФИ-СТРОЙ ООО,22573.82,1,0
Отдел труб и штоков,МогилевСервис ТОО (АРМЕНИЯ),17966.41,1,0
Трубка и РВД,КалинковичиЛогистика ТОО (АРМЕНИЯ),2377.16,1,0
Трубка и РВД,ДнепрКом АО (РОССИЯ),17289.75,1,0
Трубка и РВД,РязаньЭкспорт ТОО,41229.12,1,0
Трубка и РВД,КиевФинанс ООО (БЕЛОРУСЬ),269240.26,1,1
Трубка и РВД,"ОАО ""АК ""ТРАНСАЭРО""",11108.16,0,1
Трубка и РВД,ОршаТрейд ООО (БЕЛАРУСЬ),6317.16,1,0
Трубка и РВД,КричевСервис АО (МОЛДОВА),15604.23,2,0
Трубка и РВД,КлимовичиКом АО (РОССИЯ),8040.24,1,0
Отдел труб и штоков,СВЕТ-ТЕХ ООО,419057.91,3,1
Трубка и РВД,ОбьЭкспорт ООО (УЗБЕКИСТАН),13446.00,1,2
Отдел труб и штоков,МЮ-ЭНЕРГО ООО,1048677.11,5,4
Отдел труб и штоков,"ОМИКРОН-ИНВЕСТ ООО, Волгоград",22073.30,1,0
Отдел труб и штоков,БАЛТИКА-ТРАНС ООО,101083.22,1,0
Отдел труб и штоков,УльяновскФинанс АО (МОЛДОВА),123365.12,4,3
Трубка и РВД,ЛипецкПроект ТОО,104290.88,2,1
Трубка и РВД,ИвановоЭнерго ТОО (ТУРКМЕНИСТАН),5184.00,1,0
Отдел труб и штоков,МогилевМед ТОО (БЕЛАРУСЬ),425305.27,2,1
Отдел труб и штоков,ЧаусыКом АО (БЕЛАРУСЬ),31109.83,0,1
Трубка и РВД,ЕврейскаяАОИндустрия ООО (БЕЛОРУСЬ),1595736.94,2,4
Отдел труб и штоков,ДрогичинЭкспорт ООО (УЗБЕКИСТАН),2751324.68,6,2
Отдел труб и штоков,ООО «Группа Компаний «ЛИПЕЦКПРОФИЛЬ»,319418.99,1,1
Трубка и РВД,БурятияФинанс ТОО (АРМЕНИЯ),505971.59,6,5
Трубка и РВД,ОктябрьскийМед ТОО (КИРГИЗИЯ),8569.20,0,1
Трубка и РВД,СтолбцыЭкспорт ТОО (БЕЛАРУСЬ),57112.87,1,0
Отдел труб и штоков,КировскЛогистика АО (МОЛДОВА),3164.54,1,0
Отдел труб и штоков,КалинковичиЭнерго ТОО (ТУРКМЕНИСТАН),13466.16,0,1
Отдел труб и штоков,ОМЕГА-ИНВЕСТ ООО,324149.59,3,3
Трубка и РВД,ВитебскСервис ТОО (АРМЕНИЯ),6269.62,1,0
Трубка и РВД,КсиКонсалт ТОО (АРМЕНИЯ),346893.57,1,2
Отдел труб и штоков,ТАУ-КОМ ООО,27115.78,3,0
Трубка и РВД,ШкловЭнерго ТОО (ТУРКМЕНИСТАН),5552.40,0,1
Трубка и РВД,УшачиТех АО (РОССИЯ),20637.06,0,2
Трубка и РВД,ЛяховичиСтрой АО (БЕЛАРУСЬ),620068.61,4,1
Отдел труб и штоков,КобринЭнерго ТОО (БЕЛАРУСЬ),21481461.98,4,4
Отдел труб и штоков,МагаданТранс ОАО,931132.77,6,5
Отдел труб и штоков,ОсиповичиПроект АО (БЕЛАРУСЬ),2660494.39,6,4
Отдел труб и штоков,КричевИндустрия ТОО (АРМЕНИЯ),213.00,0,1
Трубка и РВД,ПинскМед ТОО (БЕЛАРУСЬ),20463.53,0,1
Трубка и РВД,БыховПроект АО (УКРАИНА),7069.92,1,0
Трубка и РВД,ГлубокоеИндустрия ООО (БЕЛАРУСЬ),531440.91,2,3
Отдел труб и штоков,АЛЬФА-21 ООО,3468.00,1,0
Отдел труб и штоков,ДубровноКом ТОО (ТУРКМЕНИСТАН),2408.00,1,0
Трубка и РВД,ШымкентСтрой ООО (КАЗАХСТАН),5990.04,0,1
Трубка и РВД,ВолгаСервис ООО (АЗЕРБАЙДЖАН),68756.04,1,0
Трубка и РВД,АрктикаТех ТОО (КИРГИЗИЯ),4083880.99,6,4
Отдел труб и штоков,НесвижЭкспорт ТОО (КИРГИЗИЯ),33771.96,2,0
Отдел труб и штоков,МстиславльФарма ООО (УЗБЕКИСТАН),4569797.95,6,5
Отдел труб и штоков,КомаринМед ООО (УЗБЕКИСТАН),7325.00,1,0
Трубка и РВД,ИнгушетияКом ООО (ТАДЖИКИСТАН),13988.92,0,1
Трубка и РВД,"АО АКБ ""МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ КЛУБ""",31924.80,1,1
Отдел труб и штоков,ОМИКРОН-ЭЛЕКТРО ООО,4523.57,1,0
Трубка и РВД,СлуцкСервис ООО (БЕЛАРУСЬ),2277.90,1,0
Отдел труб и штоков,ПИ-СТРОЙ ООО,969884.16,6,5
Отдел труб и штоков,ХойникиКонсалт АО (ГРУЗИЯ),76841.49,1,2
Отдел труб и штоков,ШкловФарма ООО (УЗБЕКИСТАН),10097.54,1,0
Отдел труб и штоков,ОКЕАН-КОМ ООО,266310.32,5,5
Трубка и РВД,ИвацевичиЭкспорт АО (БЕЛАРУСЬ),18710.36,2,0
Трубка и РВД,ИвановоЭнерго ТОО (БЕЛАРУСЬ),-38685.60,-1,0
Трубка и РВД,ТуровПроект АО (БЕЛАРУСЬ),24181.00,2,0
Трубка и РВД,ЦимлянскКонсалт ООО,433231.92,0,2
Трубка и РВД,ПружаныИнвест АО (БЕЛАРУСЬ),108285.66,1,0
Отдел труб и штоков,АЛЬФА-34 ООО,3780.50,1,0
Отдел труб и штоков,АЛЬФА-19 ООО,10027.82,1,0
Отдел труб и штоков,ОМЕГА-ПРОДУКТ ООО,4846.00,1,1
Отдел труб и штоков,ХИ-ПРОМ ООО,720073.28,5,4
Отдел труб и штоков,РАДИУС-ЭЛЕКТРО ООО,17200.00,1,0
Трубка и РВД,ТуровМед ТОО (КИРГИЗИЯ),26888.59,1,1
Трубка и РВД,ПолоцкЭкспорт ТОО (БЕЛАРУСЬ),25679.88,0,1
Отдел труб и штоков,ОсиповичиМед ТОО (БЕЛАРУСЬ),6619.23,2,0
Отдел труб и штоков,ДубровноЛогистика АО (МОЛДОВА),5700.00,0,1
Трубка и РВД,СлавгородСтрой АО (БЕЛАРУСЬ),23328.00,1,0
Трубка и РВД,"АО ""АВИАКОМПАНИЯ ""ВОСТОК""",62330.57,1,1
Отдел труб и штоков,ЛиозноКом АО (БЕЛАРУСЬ),1337.65,0,1
Отдел труб и штоков,ГоркиКом ТОО (БЕЛАРУСЬ),5468.48,0,1
Отдел труб и штоков,ЛунаСтроительство ТОО (КАЗАХСТАН),165510.49,1,0
Трубка и РВД,КостюковичиТрейд АО (ГРУЗИЯ),2649.60,1,0
Трубка и РВД,ВегаКонсалт АО (ГРУЗИЯ),136878.00,1,0
Отдел труб и штоков,КраснопольеТрейд ТОО (КАЗАХСТАН),315954.45,6,2
Отдел труб и штоков,ЛепельИнновации ООО (АЗЕРБАЙДЖАН),16084.48,0,1
Трубка и РВД,"ООО ""РА ""Юбилей""",9042.48,1,0
Отдел труб и штоков,ТолочинФинанс ООО (БЕЛОРУСЬ),43711.45,0,2
Трубка и РВД,ЧечерскФарма АО (БЕЛАРУСЬ),594698.04,1,1
Отдел труб и штоков,АЛЬФА-40 ООО,109629.28,0,1
Трубка и РВД,АктауИндустрия АО (КАЗАХСТАН),20045.52,1,0
Отдел труб и штоков,"ЗАО ""Новый век агротехнологий""",9261.84,1,1
Трубка и РВД,ЧаусыСтрой АО (БЕЛАРУСЬ),28018.65,1,1
Трубка и РВД,ДрогичинСтрой АО (БЕЛАРУСЬ),22260319.09,5,3
Трубка и РВД,ГродноТех АО (БЕЛАРУСЬ),19440.00,0,2
Трубка и РВД,"ООО ""МЕГАПРОМ-УРАЛ""",939127.50,6,5
Трубка и РВД,"ООО ""СР-Дортех""",2649.60,0,1
Трубка и РВД,"ООО ""СТРОЙ ИНВЕСТ ПРОЕКТ""",1325979.58,2,4
Отдел труб и штоков,МикашевичиПроект ООО (УЗБЕКИСТАН),13569.71,2,1
Трубка и РВД,БраславЭкспорт ТОО (БЕЛАРУСЬ),310016.24,2,0
Трубка и РВД,БраславФарма АО (БЕЛАРУСЬ),1271.52,1,0
Отдел труб и штоков,ИННОВАЦИЯ СП ООО,1090534.31,2,2
Трубка и РВД,ЕльскЭкспорт АО (УКРАИНА),4330.37,1,0
Трубка и РВД,"ОАО ""ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА""",255277.92,5,4
Отдел труб и штоков,РО-СТРОЙ ООО,4053677.80,6,5
Трубка и РВД,ХантыМансийскИндустрия ООО,159431.79,2,0
Отдел труб и штоков,САТУРН-ТОРГ ООО,58329.87,2,2
Трубка и РВД,ЛепельПроект ООО (УЗБЕКИСТАН),12624.91,0,2
Трубка и РВД,МстиславльМед АО (УКРАИНА),68133.60,3,0
Трубка и РВД,"ООО КБ ""Алжан""",5024.64,1,0
Трубка и РВД,МстиславльМед ООО (БЕЛАРУСЬ),10552.15,0,1
Трубка и РВД,ЛяховичиСервис АО (БЕЛАРУСЬ),99732.80,0,1
Трубка и РВД,СеверЭнерго АО (ГРУЗИЯ),19440.00,0,1
Трубка и РВД,МстиславльТрейд ООО (БЕЛАРУСЬ),56654.97,2,1
Отдел труб и штоков,ЛунинецКом ТОО (ТУРКМЕНИСТАН),15272.47,1,0
Отдел труб и штоков,"ИПСИЛОН-ЭЛЕКТРО ООО, Ижевск",52587.07,3,3
Трубка и РВД,ЧериковМед ТОО (БЕЛАРУСЬ),6799.82,1,0
Трубка и РВД,КричевФарма ООО (БЕЛАРУСЬ),1631.83,0,2
Трубка и РВД,НаровляПроект АО (БЕЛАРУСЬ),11685.98,1,0
Трубка и РВД,АстраханьЛогистика ТОО,24296.17,2,0
Отдел труб и штоков,ХойникиПроект ООО (УЗБЕКИСТАН),27818.08,0,2
Трубка и РВД,"ГП Ф-КА ФОРМЕННОГО ОБМУНДИРОВАНИЯ ""АВИАЛЕСООХРАНА""",6609.60,0,2
Трубка и РВД,ГоркиЭкспорт АО (БЕЛАРУСЬ),22603.80,1,0
Трубка и РВД,ПиФарма ООО (ТАДЖИКИСТАН),45250.32,1,2
Трубка и РВД,ВладивостокИнвест АО,90099.22,1,0
Трубка и РВД,НаровляФинанс АО (МОЛДОВА),131447.76,1,0
Отдел труб и штоков,"ЗАО ""АВИАТЕХНОЛОГИЯ""",2541516.56,6,5
Отдел труб и штоков,БобруйскКом АО (БЕЛАРУСЬ),307847.01,5,4
Трубка и РВД,МикашевичиЛогистика АО (МОЛДОВА),198952.80,1,4
Трубка и РВД,НовополоцкМед ТОО (БЕЛАРУСЬ),481100.54,3,0
Отдел труб и штоков,ОрелПроект АО (УКРАИНА),67705.57,2,0
Трубка и РВД,КлимовичиЛогистика ООО (БЕЛАРУСЬ),14661.58,0,1
Отдел труб и штоков,ЧаусыСтрой АО (БЕЛАРУСЬ),1106688.21,6,5
Трубка и РВД,ЛуганскСервис ООО (БЕЛОРУСЬ),10267.68,1,0
Трубка и РВД,ГлубокоеТех ООО (БЕЛАРУСЬ),212629.18,1,1
Отдел труб и штоков,ОмскСтроительство ООО (УЗБЕКИСТАН),154688.69,1,0
Отдел труб и штоков,ФЛОРА-ИНВЕСТ ООО,15735.65,1,0
Отдел труб и штоков,КраснопольеКонсалт ООО (АЗЕРБАЙДЖАН),12140.86,1,0
Отдел труб и штоков,ФИ-ПРОМ ООО,3570900.64,6,5
Отдел труб и штоков,ДЕЛЬТА-КОМ ООО,1301562.03,6,5
Отдел труб и штоков,СтолинПроект ТОО (КИРГИЗИЯ),24305.94,1,0
Трубка и РВД,ПсиПром АО,32015.60,1,0
Трубка и РВД,АлтайИнвест АО,70771.68,0,1
Отдел труб и штоков,ГАММА-КОМ ООО,1670511.03,5,4
Отдел труб и штоков,ВЕКТОР-ПЛЮС ООО,17383.74,1,0
Трубка и РВД,КарелияЭнерго ТОО (ТУРКМЕНИСТАН),231120.00,0,1
Отдел труб и штоков,ГАММА-ИНВЕСТ ООО,64065.50,2,0
Трубка и РВД,МагаданКонсалт ТОО (КАЗАХСТАН),39426.48,2,1
Трубка и РВД,КраснопольеМед ТОО (БЕЛАРУСЬ),1299.79,1,0
Трубка и РВД,БайкалПроект АО (МОЛДОВА),267282.18,6,2
Трубка и РВД,ЕльскКонсалт ООО (АЗЕРБАЙДЖАН),9841.32,1,0
Трубка и РВД,МстиславльИнновации ООО (АЗЕРБАЙДЖАН),6318.00,2,0
Отдел труб и штоков,ВитебскМаш ТОО (ТУРКМЕНИСТАН),76524.78,1,0
Отдел труб и штоков,КировскТех ООО (ТАДЖИКИСТАН),226.74,1,0
Трубка и РВД,Астерон,340509.39,5,5
Отдел труб и штоков,ОМИКРОН-ИНЖ ООО,74371.27,1,2
Отдел труб и штоков,СтолбцыКом ООО (ТАДЖИКИСТАН),24043.56,2,0
Трубка и РВД,МстиславльТрейд ТОО (КАЗАХСТАН),54958.82,2,2
Отдел труб и штоков,КировскСтрой АО (БЕЛАРУСЬ),511134.33,5,4
Отдел труб и штоков,БЕТА-ЭЛЕКТРО ООО,97515.43,1,0
Трубка и РВД,СигмаСтроительство ТОО,3762.62,0,1
Отдел труб и штоков,ФЕРУС СПБ ООО,15333.49,1,1
Отдел труб и штоков,ЭТА-ЭНЕРГО ООО,247746.05,1,1
Трубка и РВД,ЧувашияТех ООО,57805.80,2,0
Трубка и РВД,МордовияЭкспорт АО,682368.63,3,5
Отдел труб и штоков,"ТЕТА-ПЛЮС ООО, Омск",158109.15,0,2
Трубка и РВД,ОмикронМед ООО,179058.24,0,2
Отдел труб и штоков,ВоронежСтрой ООО,2883870.48,1,0
Трубка и РВД,КраснопольеСервис АО (БЕЛАРУСЬ),101818.81,3,0
Отдел труб и штоков,ОЛИМП-ПРОМ ООО,3133104.66,6,3
Трубка и РВД,ТуровИнвест ООО (БЕЛАРУСЬ),3230.64,1,0
Трубка и РВД,КраснопольеСервис ООО (БЕЛАРУСЬ),171443.96,0,3
Отдел труб и штоков,БорисовКонсалт ТОО (КАЗАХСТАН),123384.74,2,1
Отдел труб и штоков,ДубровноТранс ООО (АЗЕРБАЙДЖАН),913708.69,0,1
Трубка и РВД,ЛюбаньЭнерго ООО (БЕЛАРУСЬ),2538.72,1,0
Отдел труб и штоков,КИЕВ-ТОРГ ООО,3726.00,1,0
Отдел труб и штоков,ЛунинецИнвест ООО (БЕЛАРУСЬ),370211.25,4,3
Отдел труб и штоков,БобруйскСервис АО (БЕЛАРУСЬ),31404066.01,6,5
Отдел труб и штоков,ЛАМБДА-КОМ ООО,5608598.52,5,4
Трубка и РВД,БобруйскФарма ТОО (КИРГИЗИЯ),696034.60,3,3
Трубка и РВД,ОсиповичиПроект ТОО (КИРГИЗИЯ),202845.87,2,3
Отдел труб и штоков,"ИПСИЛОН-ТОРГ ООО, Ижевск",1063.02,1,0
Отдел труб и штоков,РечицаИндустрия ТОО (АРМЕНИЯ),379372.93,1,3
Отдел труб и штоков,ГАРАНТ-СТРОЙ ООО,240429.42,0,1
Отдел труб и штоков,БИО-КОМ ООО,122145.19,0,3
Трубка и РВД,МоскваСервис АО (МОЛДОВА),11880.00,1,0
Трубка и РВД,РоСтроительство ТОО (КИРГИЗИЯ),272593.22,2,1
Трубка и РВД,ПолоцкТрейд АО (БЕЛАРУСЬ),9865.44,0,1
Трубка и РВД,"ОАО ""НББ""",123244.97,2,1
Трубка и РВД,"ООО ""МЕГАТОН""",219838.20,3,2
Отдел труб и штоков,НесвижКонсалт АО (ГРУЗИЯ),1500.00,0,1
Трубка и РВД,ОдессаПроект АО (УКРАИНА),2758652.18,4,5
Трубка и РВД,УльяновскФинанс АО (МОЛДОВА),689410.63,6,3
Отдел труб и штоков,ОршаСервис АО (МОЛДОВА),151065.13,0,3
Трубка и РВД,НенецкийАОСервис ООО,103430.22,1,2
Трубка и РВД,ЖемчугКом ОАО,84181.68,2,2
Отдел труб и штоков,ГАЛАКТИКА СП ООО,422545.81,2,0
Трубка и РВД,БерезаЭнерго ТОО (БЕЛАРУСЬ),5758701.06,6,5
Отдел труб и штоков,АЛЬФА-8 ООО,68007.24,2,2
Трубка и РВД,НаровляТех ООО (БЕЛАРУСЬ),15126.00,1,0
Трубка и РВД,НесвижПроект ООО (УЗБЕКИСТАН),445815.09,3,3
Отдел труб и штоков,ЗЕТА-ТОРГ ООО,1168418.38,5,3
Отдел труб и штоков,"ООО ""АМТ Н.В.""",1072284.77,1,2
Трубка и РВД,СтолбцыЭнерго ООО (БЕЛАРУСЬ),42131.79,2,2
Отдел труб и штоков,КСИ-ПЛЮС ООО,12630.96,0,1
Отдел труб и штоков,ИвановоТех ООО (ТАДЖИКИСТАН),33218.14,0,1
Трубка и РВД,БерезаФарма ООО (БЕЛАРУСЬ),1004887.59,6,3
Отдел труб и штоков,БобруйскКом ТОО (ТУРКМЕНИСТАН),151557.43,4,0
Трубка и РВД,Алтайтелеком,354558.28,4,2
Отдел труб и штоков,АЛЬФА-33 ООО,195228.94,2,0
Отдел труб и штоков,КСИ-МАШ ООО,1545602.38,6,4
Отдел труб и штоков,ЛяховичиЭнерго ООО (ТАДЖИКИСТАН),23594.58,1,0
Отдел труб и штоков,ИПСИЛОН-СТРОЙ ООО,35383.78,0,1
Трубка и РВД,ГанцевичиФарма,479838.72,5,2
Трубка и РВД,ЧашникиИнвест АО (БЕЛАРУСЬ),7300.32,1,0
Трубка и РВД,ХотимскСервис АО (БЕЛАРУСЬ),169672.48,1,2
Трубка и РВД,ООО УГЛИЧ-ПЛАСТ,177255.88,0,1
Трубка и РВД,ЛяховичиКом АО (РОССИЯ),42120.00,1,0
Трубка и РВД,"ОАО "" Авиакомпания"" Омскавиа""",390212.05,3,3
Трубка и РВД,АтырауИндустрия АО (МОЛДОВА),5329.68,0,1
Отдел труб и штоков,АВАНГАРД-ИНЖ ООО,6945.20,1,0
